instrument,strike,fit_iv,delta,gamma,our_mark_px,deribit_mark_px,diff
ETH-23MAY25-1400-C,1400.0000,3.0000,0.7612,0.0003,0.2291,0.2262,0.0029
ETH-23MAY25-1400-P,1400.0000,3.0000,-0.2388,0.0003,0.0037,0.0037,0.0000
ETH-23MAY25-1600-C,1600.0000,3.0000,0.6925,0.0003,0.1281,0.1244,0.0037
ETH-23MAY25-1600-P,1600.0000,3.0000,-0.3075,0.0003,0.0130,0.013,0.0000
ETH-23MAY25-1700-P,1700.0000,3.0000,-0.3414,0.0003,0.0263,0.0263,-0.0000
ETH-23MAY25-1700-C,1700.0000,3.0000,0.6586,0.0003,0.0830,0.0822,0.0008
ETH-23MAY25-1750-P,1750.0000,3.0000,-0.3581,0.0003,0.0363,0.0366,-0.0003
ETH-23MAY25-1750-C,1750.0000,3.0000,0.6420,0.0003,0.0653,0.0647,0.0006
ETH-23MAY25-1800-P,1800.0000,3.0000,-0.3745,0.0003,0.0493,0.0497,-0.0004
ETH-23MAY25-1800-C,1800.0000,3.0000,0.6255,0.0003,0.0503,0.0499,0.0004
ETH-23MAY25-1850-P,1850.0000,3.0000,-0.3907,0.0003,0.0653,0.0655,-0.0002
ETH-23MAY25-1850-C,1850.0000,3.0000,0.6092,0.0003,0.0383,0.038,0.0003
ETH-23MAY25-1900-P,1900.0000,3.0000,-0.4067,0.0003,0.0885,0.0838,0.0047
ETH-23MAY25-1900-C,1900.0000,3.0000,0.5933,0.0003,0.0288,0.0285,0.0003
ETH-23MAY25-1950-P,1950.0000,3.0000,-0.4224,0.0003,0.1131,0.1043,0.0088
ETH-23MAY25-1950-C,1950.0000,3.0000,0.5776,0.0003,0.0218,0.0213,0.0005
ETH-23MAY25-2000-P,2000.0000,3.0000,-0.4378,0.0003,0.1336,0.1266,0.0070
ETH-23MAY25-2000-C,2000.0000,3.0000,0.5621,0.0003,0.0163,0.0159,0.0004
ETH-23MAY25-2100-C,2100.0000,3.0000,0.5322,0.0003,0.0093,0.0089,0.0004
ETH-23MAY25-2100-P,2100.0000,3.0000,-0.4678,0.0003,0.1819,0.1752,0.0067
ETH-23MAY25-2200-C,2200.0000,3.0000,0.5034,0.0003,0.0053,0.0052,0.0001
ETH-23MAY25-2200-P,2200.0000,3.0000,-0.4966,0.0003,0.2340,0.227,0.0070
ETH-23MAY25-2400-P,2400.0000,3.0000,-0.5503,0.0003,0.4905,0.3349,0.1556
ETH-23MAY25-2400-C,2400.0000,3.0000,0.4496,0.0003,0.0021,0.0021,-0.0000
BTC-23MAY25-75000-C,75000.0000,3.0000,0.7500,0.0000,0.2224,0.2065,0.0159
BTC-23MAY25-75000-P,75000.0000,3.0000,-0.2500,0.0000,0.0014,0.0012,0.0002
BTC-23MAY25-80000-C,80000.0000,3.0000,0.7171,0.0000,0.1754,0.1545,0.0209
BTC-23MAY25-80000-P,80000.0000,3.0000,-0.2828,0.0000,0.0027,0.0023,0.0004
BTC-23MAY25-85000-P,85000.0000,3.0000,-0.3155,0.0000,0.0058,0.0058,0.0000
BTC-23MAY25-85000-C,85000.0000,3.0000,0.6845,0.0000,0.1303,0.105,0.0253
BTC-23MAY25-88000-C,88000.0000,3.0000,0.6651,0.0000,0.1046,0.0782,0.0264
BTC-23MAY25-88000-P,88000.0000,3.0000,-0.3349,0.0000,0.0109,0.0107,0.0002
BTC-23MAY25-90000-P,90000.0000,3.0000,-0.3477,0.0000,0.0158,0.016,-0.0002
BTC-23MAY25-90000-C,90000.0000,3.0000,0.6523,0.0000,0.0876,0.0623,0.0253
BTC-23MAY25-91000-P,91000.0000,3.0000,-0.3540,0.0000,0.0194,0.0194,0.0000
BTC-23MAY25-91000-C,91000.0000,3.0000,0.6460,0.0000,0.0581,0.0551,0.0030
BTC-23MAY25-92000-C,92000.0000,3.0000,0.6396,0.0000,0.0494,0.0484,0.0010
BTC-23MAY25-92000-P,92000.0000,3.0000,-0.3604,0.0000,0.0235,0.0233,0.0002
BTC-23MAY25-93000-C,93000.0000,3.0000,0.6333,0.0000,0.0433,0.0424,0.0009
BTC-23MAY25-93000-P,93000.0000,3.0000,-0.3667,0.0000,0.0280,0.028,-0.0000
BTC-23MAY25-94000-C,94000.0000,3.0000,0.6271,0.0000,0.0375,0.037,0.0005
BTC-23MAY25-94000-P,94000.0000,3.0000,-0.3729,0.0000,0.0329,0.0331,-0.0002
BTC-23MAY25-95000-C,95000.0000,3.0000,0.6208,0.0000,0.0324,0.032,0.0004
BTC-23MAY25-95000-P,95000.0000,3.0000,-0.3792,0.0000,0.0389,0.0387,0.0002
BTC-23MAY25-96000-C,96000.0000,3.0000,0.6146,0.0000,0.0278,0.0276,0.0002
BTC-23MAY25-96000-P,96000.0000,3.0000,-0.3854,0.0000,0.0454,0.0449,0.0005
BTC-23MAY25-97000-P,97000.0000,3.0000,-0.3915,0.0000,0.0519,0.0516,0.0003
BTC-23MAY25-97000-C,97000.0000,3.0000,0.6085,0.0000,0.0239,0.0237,0.0002
BTC-23MAY25-98000-P,98000.0000,3.0000,-0.3976,0.0000,0.0760,0.0589,0.0171
BTC-23MAY25-98000-C,98000.0000,3.0000,0.6023,0.0000,0.0206,0.0204,0.0002
BTC-23MAY25-99000-P,99000.0000,3.0000,-0.4038,0.0000,0.0860,0.0665,0.0195
BTC-23MAY25-99000-C,99000.0000,3.0000,0.5963,0.0000,0.0176,0.0174,0.0002
BTC-23MAY25-100000-C,100000.0000,3.0000,0.5902,0.0000,0.0151,0.0149,0.0002
BTC-23MAY25-100000-P,100000.0000,3.0000,-0.4098,0.0000,0.1137,0.0746,0.0391
BTC-23MAY25-101000-C,101000.0000,3.0000,0.5842,0.0000,0.0145,0.0127,0.0018
BTC-23MAY25-101000-P,101000.0000,3.0000,-0.4158,0.0000,0.1214,0.083,0.0384
BTC-23MAY25-102000-C,102000.0000,3.0000,0.5782,0.0000,0.0108,0.0108,0.0000
BTC-23MAY25-102000-P,102000.0000,3.0000,-0.4218,0.0000,0.1318,0.0918,0.0400
BTC-23MAY25-103000-P,103000.0000,3.0000,-0.4277,0.0000,0.1417,0.1007,0.0410
BTC-23MAY25-103000-C,103000.0000,3.0000,0.5723,0.0000,0.0093,0.0092,0.0001
BTC-23MAY25-104000-P,104000.0000,3.0000,-0.4336,0.0000,0.1520,0.11,0.0420
BTC-23MAY25-104000-C,104000.0000,3.0000,0.5664,0.0000,0.0080,0.0079,0.0001
BTC-23MAY25-105000-P,105000.0000,3.0000,-0.4395,0.0000,0.1617,0.1194,0.0423
BTC-23MAY25-105000-C,105000.0000,3.0000,0.5605,0.0000,0.0068,0.0067,0.0001
BTC-23MAY25-106000-C,106000.0000,3.0000,0.5547,0.0000,0.0058,0.0058,0.0000
BTC-23MAY25-106000-P,106000.0000,3.0000,-0.4453,0.0000,0.1723,0.129,0.0433
BTC-23MAY25-108000-P,108000.0000,3.0000,-0.4567,0.0000,0.1931,0.1487,0.0444
BTC-23MAY25-108000-C,108000.0000,3.0000,0.5433,0.0000,0.0055,0.0043,0.0012
BTC-23MAY25-110000-C,110000.0000,3.0000,0.5319,0.0000,0.0043,0.0032,0.0011
BTC-23MAY25-110000-P,110000.0000,3.0000,-0.4681,0.0000,0.2137,0.1688,0.0449
BTC-23MAY25-115000-C,115000.0000,3.0000,0.5045,0.0000,0.0022,0.0017,0.0005
BTC-23MAY25-115000-P,115000.0000,3.0000,-0.4955,0.0000,0.2651,0.2203,0.0448
BTC-23MAY25-120000-C,120000.0000,3.0000,0.4781,0.0000,0.0010,0.001,0.0000
BTC-23MAY25-120000-P,120000.0000,3.0000,-0.5219,0.0000,0.3169,0.2726,0.0443
BTC-23MAY25-125000-C,125000.0000,3.0000,0.4529,0.0000,0.0007,0.0006,0.0001
BTC-23MAY25-125000-P,125000.0000,3.0000,-0.5471,0.0000,0.3688,0.3252,0.0436
BTC-23MAY25-130000-C,130000.0000,3.0000,0.4289,0.0000,0.0005,0.0004,0.0001
BTC-23MAY25-130000-P,130000.0000,3.0000,-0.5711,0.0000,0.4210,0.378,0.0430
BTC-23MAY25-135000-C,135000.0000,3.0000,0.4061,0.0000,0.0003,0.0003,0.0000
BTC-23MAY25-135000-P,135000.0000,3.0000,-0.5939,0.0000,0.5695,0.4309,0.1386
